Num.,Generic Class,Manufacturer Trade Name,Country,Remarks
19,Acrylic,Cyanenka SA Crilenka®,Spain,"PAN + MMA (sodium thiocyanate solvent). 4.1dtex. 5 of 9 in a set of fibers to illustrate denier range."
20,Acrylic,Cyanenka SA Crilenka®,Spain,"PAN + MMA (sodium thiocyanate solvent). 5.4dtex. 6 of 9 in a set of fibers to illustrate denier range."
21,Acrylic,Cyanenka SA Crilenka®,Spain,"PAN + MMA (sodium thiocyanate solvent). 7.8dtex. 7 of 9 in a set of fibers to illustrate denier range."
22,Acrylic,Cyanenka SA Crilenka®,Spain,"PAN + MMA (sodium thiocyanate solvent). 12dtex. 8 of 9 in a set of fibers to illustrate denier range."
23,Acrylic,Cyanenka SA Crilenka®,Spain,"PAN + MMA (sodium thiocyanate solvent). 18dtex. 9 of 9 in a set of fibers to illustrate denier range."
24,Acrylic,Du Pont Orlon® 42,USA,"Turbo tops. Semi-dull. PAN + MA (DMF solvent). 4.5dpf. Uses: hand-knitting yarns, sweaters and hosiery."
25,Not In Use,,,
26,Acrylic,Du Pont Orlon® 75,USA,"Bright. 3dpf x 60mm. Regular for cotton spinning systems. Uses: hand-knitting yarns, sweaters and hosiery."
27,Acrylic,Hoechst Dralon® 20,Germany,"Dry spun. White. Bright + optical brightener. PAN + MA + aromatic sulphonate (DMF solvent). 3.3dtex x 60mm. Uses: curtains, table cloths, upholstery, blankets, rugs. Most common type of Dralon."
28,Acrylic,Hoechst Dralon® 21,Germany,"Dry spun. Raw. Bright. PAN + MA + aromatic sulphonate (DMF solvent). 6.7dtex x 60mm. Uses: knitted goods, blankets, rugs."
29,Acrylic,Hoechst Dralon® 22,Germany,"Dry spun. White. Matt. PAN + MA + aromatic sulphonate (DMF solvent). 3.3dtex, 90dtex. Uses: knitted outerwear, upholstery fabrics."
30,Acrylic,Hoechst Dralon® 26,Germany,"Wet spun. Bright. White. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 3.3dtex x 60mm. Uses: knitted goods, pile fabrics"
31,Acrylic,Hoechst Dralon® 31,Germany,"Dry spun. Raw. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 3.3dtex x 60mm. Use: upholstery fabric."
32,Acrylic,Hoechst Dralon® 37,Germany,"Dry spun. White. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 2.2dtex x 50mm. Uses: blankets and knitted pile fabrics."
33,Acrylic,Hoechst Dralon® 44,Germany,"Dry spun. White. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 6.7dtex x 50mm. Uses: furniture or outer clothing."
34,Acrylic,Hoechst Dralon® 65,Germany,"Pigmented. PAN + MA (DMF solvent). For outdoor use."
35,Acrylic,Hoechst Dralon® 81,Germany,"Dry spun. Raw. Matt. PAN + MA + aromatic sulphonate (DMF solvent). 9.0dtex x 100mm. Used as carpet fiber."
36,Acrylic,Hoechst Dralon® 86,Germany,"Dry spun. Raw. PAN + MA + aromatic sulphonate (DMF solvent). 9.0dtex x 100mm. Use: carpet fiber."
37,Acrylic,Hoechst Dralon® 10,Germany,"Raw. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). Very low MA level; 6mm. Asbestos substitute."
38,Acrylic,Mann Mann® 505,USA,"Producer dyed. PAN homopolymer. Colors: Bone, Noble Green, Spruce, Wash Denim, Royal Purple, Burgundy, Brite Fuchsia, Scarlet, Navy."
39,Acrylic,Markische Faser Wolpryla® 65,Germany,"PAN + MA. No DMF residue."
40,Acrylic,Monsanto Acrilan® D57,USA,"Bicomponent on PAN + VA base. 6d. x 5"."
41,Acrylic,Snia Velicren®,Italy,"Semi-dull with TiO₂. PAN(89%) + MA (DMF solvent). 5d. x 60mm."
42,Acrylic,Snia Velicren®,Italy,"Bright. PAN(89%) + MA (DMF solvent). 5d. x 60mm."
43,Acrylic,Snia Velicren® Bicomponent,Italy,"Bicomponent. PAN + MA + aromatic sulphonate (DMF solvent). 3.3d. low."
44,Acrylic,Solutia Acrilan® B16,USA,"PAN + VA. 3d."
45,Acrylic,Toho Rayon Beslon® A 240,Japan,"Acid-dyeable acrylic fiber. PAN + base termonomer (zinc chloride solvent)."
46,Acrylic,Toho Rayon Beslon® F 040,Japan,"Bicomponent. Random polymer mix. PAN + AA + MA (zinc chloride solvent)."
47,Acrylic,Toho Rayon Beslon® R 340,Japan,"Superia" with increased basic dyeability. PAN + MA (zinc chloride solvent).
48,Acrylic,Toho Rayon Beslon® W 241,Japan,"PAN + MA (zinc chloride solvent). No DMF solvent residue."
49,Aramid,Du Pont Kevlar® 29 T964,USA,"200d. Yarn. Kevlar is an industrial textile fiber with extremely high strength. Type 29 is used for ballistic apparel, ropes, thermal and cut resistant gloves."
50,Aramid,Du Pont Kevlar® 49 T968,USA,"195d. Yarn. Kevlar is an industrial textile fiber with extremely high strength. Type 49 is used for reinforcing plastic composites in aircraft, marine and sporting applications."
51,Aramid,Du Pont Nomex® OG 1,USA,"Dogbone X-S. 200 dpf. Used especially in applications requiring resistance to high temperature."
52,Aramid,Du Pont Nomex® T450,USA,"100% Nomex. Staple. Used especially in applications requiring resistance to high temperature."
53,Carbon,Toray Torayca®,Japan,"Round. 6 micrometer diameter, brittle."
54,Chlorofiber,FMC American Vinyon HH,USA,"5.5d. x 2". Obsolete."
55,Lyocell,Courtaulds Tencel®,UK,"Round X-S. Staple."
56,Lyocell,Lenzing Lyocell by Lenzing®,Germany,"Round X-S.; slightly irregular diameter."
57,Modacrylic,Bayer Verel® C,Germany,"PAN + VDC (37%) (DMF solvent). No ester, aliphatic sulphonate dye site. Obsolete."
58,Modacrylic,Eastman Fibers Verel® Type CA,USA,"White. Peanut X-S. Bright. 16dpf. Use: Floor coverings."
59,Modacrylic,Hoechst Dolan® 88,Germany,"PAN + VC(15%) + MA(3%) + aliphatic sulphonate dye site. Obsolete."
60,Modacrylic,Lenzing Lenzing® Modal,Germany,"Bright. Black spun dyed. Modal. 3.3dtex x 80mm."
61,Modacrylic,Monsanto Elura®,USA,"Brown. PAN + VBr + aromatic sulphonate dye site. Wig fiber. Obsolete."
62,Modacrylic,Snia Velicren® FR,Italy,"Ribbon X-S. PAN + VDC + aromatic sulphonate dye site (DMF solvent). 16.7dtex."
63,Modacrylic,Solutia SEF Modacrylic,USA,"Dyed SEF color: Toasty Beige."
64,Modacrylic,Toray Unfla®,Japan,"PAN + VDC + high ester + aliphatic sulphonate dye site. No DMF residue. Wig fiber. Obsolete."
65,Modacrylic,Toray Unfla®,Japan,"Undyed. Raw stock. Obsolete."
66,Modacrylic,Union Carbide Dynel® Type 180,USA,"3d. Staple."
67,Modacrylic,Waxman Kanecaron® AHD HS,UK,"Dope dyed, high shrink. Green. FR. PAN + VA + VC. 4.0d."
68,Modacrylic,Waxman Kanecaron® RBM,UK,"Flat X-S. Black. PAN + VA + VC. 15.0d. Use: Fake fur."
69,Modacrylic,Waxman Kanecaron® SP,UK,"Semi-dull. PAN + VA + VC. 3.0d. x 64mm."
70,Modacrylic,Waxman Kanecaron® SRY,UK,"Dull. PAN + VA + VC + antimony trioxide. 1.7d x 38 mm."
71,Modacrylic,Waxman Kanecaron® SYS,UK,"Very dull. PAN + VA + VC + antimony trioxide. 1.7d x 38mm. Uses: Upholstery, curtains."
72,Modacrylic,Waxman Kanecaron® SRB,UK,"Bright. PAN + VC. 5d. x 100mm. Use: Velour upholstery."
73,Modacrylic,Waxman Fibers Protex-M®,UK,"VDC + antimony trioxide. 3d. x 100mm."
74,Nylon,Allied Signal Fibers 1392MBH,USA,"PA-6. Non-textured feeder yarn. It has not been heatset, twisted or heatset. 1 of 7 in a series of fiber processing techniques."
75,Nylon,Allied Signal Fibers 1392MBX,USA,"PA-6. 2-ply cabled yarn. It has not been heatset. 2 of 7 in a series of fiber processing techniques."
76,Nylon,Allied Signal Fibers,USA,"PA-6. 2-ply cabled and autoclave heat set yarn. 3 of 7 in a series of fiber processing techniques."
77,Nylon,Allied Signal Fibers,USA,"PA-6. Superba heat set 1190d. carpet yarn. No after-treatment. 4 of 7 in a series of fiber processing techniques."
78,Nylon,Allied Signal Fibers,USA,"PA-6. Superba heat set 1190d. carpet yarn, dyed w/ a typical acid dye. 5 of 7 in a series of fiber processing techniques."
79,Nylon,Allied Signal Fibers,USA,"PA-6. Superba heat set 1190d. carpet yarn. Dyed, treated w/ stainblocker. 6 of 7 in a series of fiber processing techniques."
80,Nylon,Allied Signal Fibers,USA,"PA-6. Superba heat set 1190d. carpet yarn. Dyed, treated w/ stainblocker, fluorocarbon process. 7 of 7 in a series of fiber processing techniques."
81,Nylon,Allied Signal Fibers 1220 MBX,USA,"PA-6. Trilobal w/ 3 holes. BCF."
82,Nylon,Allied Signal Fibers Hydrofil®,USA,"PA-6. A highly absorbent, quick drying fiber used for outerwear, gloves, hats, activewear."
83,Nylon,Allied Signal Fibers Patina®,USA,"PA-6. Pentalobal X-S. 20d./12fils. Use: lingerie. Fabric."
84,Nylon,Allied Signal Fibers T-280,USA,"PA-6. Trilobal X-S."
85,Nylon,Allied Signal Fibers T-288,USA,"PA-6. Trilobal X-S."
86,Nylon,Allied Signal Fibers T-716,USA,"PA-6. Trilobal X-S."
87,Nylon,BASF,USA,"PA-6. Trilobal X-S. BASF Automotive Solution Dyed Nylon Staple. Pigments: carbazole red, perylene violet, carbon black."
88,Nylon,BASF H110S,USA,"PA-6. Solution dyed. Pentagonial: hollow, 6 hole X-S. 17.4dpf. BCF. Multicolor yarn."
89,Nylon,Du Pont 2668AS,USA,"PA-66. Trilobal X-S. 1365d. BCF."
90,Nylon,Du Pont 4250,USA,"PA-66. Trilobal X-S. 1340d. BCF."
91,Nylon,Du Pont 496A,USA,"PA-66. Square 4 hole X-S. 1245d. BCF."
92,Nylon,Du Pont 566,USA,"PA-66. Trilobal X-S. 1005d. BCF."
93,Nylon,Du Pont 576,USA,"PA-66. Trilobal X-S. 1105d. BCF."
94,Nylon,Du Pont 608,USA,"PA-66. "Michelin Man" trilobal X-S. 1405d. BCF."
95,Nylon,Du Pont 696AS,USA,"PA-66. Trilobal X-S. 1105d. BCF."
96,Nylon,Du Pont 746,USA,"PA-66. Trilobal X-S. 1700d. BCF."
97,Nylon,Du Pont Microsupplex™,USA,"PA-66. Microfiber. Dyed yellow. Fabric. Small denier allows for fabrics to be made with twice the wind resistance of standard nylon. Uses: rainwear, sports apparel."
98,Nylon,Du Pont Options™ Stainmaster™ Yarn,USA,"PA-66. DuPont color: Prairie. Carpet yarn with mixed X-S. and M.R. Smooth dull luster. Use: mid-high end market carpeting."
99,Nylon,Du Pont P1136,USA,"PA-66. Trilobal "jacks" X-S. 1400d. BCF."
100,Nylon,Du Pont P1236,USA,"PA-66. Trilobal "jacks" X-S. Semi-dull. 750d. BCF."
101,Nylon,Du Pont P1237 Footlights™,USA,"PA-66. Trilobal X-S. w/ variable M.R. Zinc sulfide causes fiber to luminesce green 1295d. BCF."
102,Nylon,Du Pont P1261,USA,"PA-66. Trilobal X-S. 1395d. BCF."
103,Nylon,Du Pont Qiana® T472,USA,"Special PA. Dyed orange. Trilobal w/ variable M.R. Fabric. Obsolete."
104,Nylon,ICI Quintesse® T323,UK,"PA-66. Circular X-S. 3.3dtex. Staple. Outer clothing."
105,Nylon,ICI Tactel® K000,UK,"PA-66. Trilobal X-S. BCF. Trade name now owned by DuPont."
106,Nylon,Monsanto Marvess®,USA,"PA/PU bicomponent. Staple. Obsolete."
107,Nylon,Monsanto T0660,USA,"PA-66. Trilobal X-S. Staple."
108,Nylon,Monsanto T0802,USA,"PA-66. Trilobal X-S. Mixed denier and M.R. carpet yarn. Staple."
109,Nylon,Monsanto T0810,USA,"PA-66. Round X-S. Staple."
110,Nylon,Monsanto T0811,USA,"PA-66. Trilobal X-S. Staple."
111,Nylon,Monsanto T08DV,USA,"PA-66. Trilobal X-S. Staple."
112,Nylon,Monsanto T1184,USA,"PA-66. Trilobal X-S. Staple."
113,Nylon,Monsanto T1943,USA,"PA-66. Trilobal X-S. Staple."
114,Nylon,Monsanto T19DV,USA,"PA-66. Delta X-S. Staple."
115,Nylon,Monsanto T2042,USA,"PA-66. Trilobal X-S. Staple."
116,Nylon,Monsanto T2093,USA,"PA-66. Trilobal X-S. Staple."
117,Nylon,Shaw Industries,USA,"PA-6. Colored mauve (solution dyed, i.e., pigmented). Trilobal X-S. 1452d. Yarn (64f.)."
118,Nylon,Snia Lilion®,Italy,"PA-6. Trilobal X-S. 9.3dtex x 165mm staple."
119,Nylon,Wellman Inc.,USA,"PA-6. Round X-S. Semi-dull. 18dpf. x 5.25"" staple. M.P.=255C (manufacturer's data)."
120,Nylon,Wellman Inc.,USA,"PA-6. Trilobal X-S. BCF. 18dpf. x 7.5"" staple. M.P.=255C (manufacturer's data)."
121,Olefin,Hercules Inc. T-150,USA,"Polypropylene. Gray. Swollen delta X-S. 20dpf. Hercules tater; called Fiber Visions. Staple."
122,Olefin,Hoechst Celanese Certran® HMPE,USA,"High Molecular Weight Polyethylene. High strength, high crystallinity. BCF."
123,Olefin,Phillips Marvess®,USA,"Polypropylene. White. Delta X-S. 300d. BCF."
124,Olefin,Phillips Marvess®,USA,"Polypropylene. Textured. Sample dyed one of the following Phillips colors: E03-Pink, G05-Airway Blue, F00-Bermuda brass, A17-Beige. Round X-S. and M.R. Actual X-S. is polygonal due to the false twist texturing process. BCF."
125,Olefin,Phillips Marvess®,USA,"Polypropylene. Phillips color: natural. Y modified X-S. 300d. BCF."
126,Olefin,Shaw Industries,USA,"Polypropylene. Solution dyed green. Delta X-S. 1802d. Yarn (120f.)."
127,Olefin,Shaw Industries,USA,"Polypropylene. White. Delta X-S. 2600d. Yarn (120f.)."
128,Olefin,Shaw Industries,USA,"Polypropylene. Solution dyed blue. Delta X-S. 1100d. Yarn (60f.)."
129,PBI,Hoechst Celanese Polybenzimidazole,USA,"Gold color. Fabric. 1.5dpf. 7.5oz/yd². High performance fiber will maintain integrity and pliability under heat and flame."
130,Polyacrylate,Courtaulds Inidex®,UK,"Polyacrylate. Pink. Staple. Industrial fiber."
131,Polyacrylate,Hoechst Celanese Vectran® HS,USA,"Liquid crystal polymer. High birefringence due to aromatic groups. BCF."
132,Polyester,Albany International Primaloft®,USA,"PET-microfiber. Mixture of microfibers (0.5d.) and supporting macrofibers. Used as water resistant synthetic down (similar to waterfowl down). Used as insulating material in comforters, parkas, sleeping bags."
133,Polyester,Allied Signal Fibers Poly(ethylene naphthalenate),USA,"Drawn PEN. Cricular X-S. BCF. Used for tires, sailcloth."
134,Polyester,Asahi Chemical Co. Nonbur® N90 (MAC),Japan,"VDC + aromatic sulphonate dye site. Staple."
135,Polyester,Bayer Vestan® 16,Germany,"PCDT. Staple."
136,Polyester,Du Pont CoolMax®,USA,"White. Tetra-channel X-S. 100% Dacron®. Yarn. Uses: athletic wear, socks."
137,Polyester,Du Pont Dacron® 242,USA,"Normal PET. Elongated 35%. Octalobal X-S. Semi-dull. BCF."
138,Polyester,Du Pont Dacron® 50T,USA,"Normal PET. Draw elongated 123%. Round X-S. Semi-dull. BCF."
139,Polyester,Du Pont Dacron® 56T,USA,"Normal PET. Polygonal X-S. due to texturing process. POY. BCF."
140,Polyester,Du Pont Hollofil #766,USA,"Not dyeable. 100% Dacron PET fiber. Hollow X-S. Staple. Diameter larger than Hollofil II. Fiber fluoresces with UV excitation."
141,Polyester,Du Pont Hollofil 808®,USA,"4 hole X-S. 5.5d. x 2"" staple. Made from 100% pre-consumer recycled PET. Uses: outerwear and sleeping bags."
142,Polyester,Du Pont Hollofil ll®,USA,"Not dyeable. Hollow X-S. Staple. 100% Dacron PET fiber. Fiber fluoresces. Uses: outerwear, sleeping bags."
143,Polyester,Du Pont Quallofil®,USA,"4 hole X-S. 5.5d. x 3"" staple. Used for high performance camping and outerwear."
144,Polyester,Enka Encron®,USA,"Pyloc process. Texturized. Semi-dull. BCF."
145,Polyester,Enka Encron® 8,USA,"Pyloc process. Octalobal X-S. BCF."
146,Polyester,Fiber Extrusion F931,USA,"Clear. 6d. x 2"" staple."
147,Polyester,Fiber Extrusion F935,USA,"Black. 6d. x 3"" staple."
148,Polyester,Fiber Extrusion F939,USA,"Semi-dull. 6d. x 3"" staple."
149,Polyester,Grilon SA Grilene® W,Switzerland,"Normal PET. Raw white. Bright. 17dtex x 80mm staple. Wool type."
150,Polyester,Grilon SA Grilene® W,Switzerland,"Normal PET. Raw white. Semi-dull. 4.4dtex. Staple."
151,Polyester,Hoechst Trevira® 120,Germany,"Standard PET. Bright + Optical brightener. 1.2d. x 30mm staple. Uses: clothing and household fabrics, mixed with cotton."
152,Polyester,Hoechst Trevira® 210,Germany,"Carrier free deep dyeable. 3.6dtex. Staple. Modified wool type."
153,Polyester,Hoechst Trevira® 350,Germany,"Modified PET. Staple. Low pill, low tenacity. Used in blends."
154,Polyester,Hoechst Trevira® 353,Germany,"Normal PES. Trilobal X-S. Bright. 4dtex x 60mm staple. Used in blends for glitter effect."
155,Polyester,Hoechst Trevira® 525,Germany,"Special type PET (100%) from dull raw material. Dyed brown. Matt. Octalobal X-S. 167dtex. Used as wrap yarn."
156,Polyester,Hoechst Trevira® 550,Germany,"Modified PET, high shrink. Dull. 3.6dtex. Staple. Low M.P."
157,Polyester,Hoechst Trevira® 561,Germany,"Normal PET. Jet Set. Dyed red. Trilobal X-S. 150dtex./72. Fabric. Used as an effect yarn, w/ viscose effects."
158,Polyester,Hoechst Trevira® 561,Germany,"Jet set. Dyed red. 110dtex. Yarn(48f)."
159,Polyester,Hoechst Trevira® 610,Germany,"Standard type, matt."
160,Polyester,Hoechst Trevira® 630,Germany,"Modified PET. Disperse dyeable. Dull. 150dtex. Low M.P. Z twist yarn(20)."
161,Polyester,Hoechst Trevira® 640,Germany,"Modified PET. Yarn. Cationic dyeable. Low M.P."
162,Polyester,Hoechst Trevira® 661,Germany,"Normal PET. Dyed red. Yarn."
163,Polyester,Hoechst Trevira® 684,Germany,"Normal PES. Cotton type. Yarn."
164,Polyester,Hoechst Trevira® 810,Germany,"PBT. 17dtex x 150mm staple."
165,Polyester,Hoechst Trevira® 813,Germany,"PBT. Trilobal X-S. 6.7d. x 150mm staple. Use: carpet fiber."
166,Polyester,Hoechst Trevira Dolan®,Germany,"Normal PET. Texturized. Blue dyed. Yarn."
167,Polyester,Hoechst Celanese #2359 - Bicomponent,USA,"Polyester core, co-polyester sheath. 2.0d. x 1.5"" staple."
168,Polyester,Hoechst Celanese 129S,USA,"Pentalobal. 6.0d. Staple."
169,Polyester,ICI Mitrelle® K1010,UK,"Normal PET. Filament."
170,Polyester,ICI Mitrelle® silk fabric,UK,"Normal PET. Dyed purple. Yarn."
171,Polyester,ICI Terinda® Suede Fabric,UK,"Normal PET. Dyed red. Fabric."
172,Polyester,ICI Terinda® T5001,UK,"Normal PET. Filament."
173,Nylon,ICI Timbrelle®,UK,"Mélange dyed. Use: carpet fiber."
174,Polyester,ICI Fibers Epitropic® PET Type 745,UK,"Conductive fiber. Carbon coated. 3.3dtex x 75mm staple. Obsolete."
175,Polyester,Shaw Industries,USA,"Grlege. 1455d. Yarn (80f.)."
176,Polyester,Shaw Industries,USA,"Beige. 1460d. Yarn (80f.)."
177,Polyester,Snia Wistel® C,Italy,"Normal PET. 13.2dtex x 60mm staple."
178,Polyester,Snia Wistel® S,Italy,"Normal PET. 13.2dtex x 60mm staple."
179,Polyester,Unitika A-Telluna®,Japan,"Copolymer terephthalic acid + ethylene glycol + p-hydroxybenzoic acid. Staple."
180,Polyester,Unitika H 38,Japan,"Conjugate: 2 types of PES. Hollow X-S. Staple for wadding."
181,Polyester,Unitika P 88,Japan,"Conjugate: 2 types of PES. Trilobal X-S. Staple. Use: carpet fiber."
182,Polyester,Wellman Heplalobal,USA,"Heptalobal X-S. POY. BCF."
183,Polyester,Wellman PET,USA,"Recycled polyester. Use: carpet fiber."
184,Polyester,Wellman Inc.,USA,"Non-carrier dye. Bright. Trilobal X-S. 12dpf. Staple."
185,Polyester,Wellman Inc.,USA,"Bright. Triolbabl X-S. 15dpf. x 7.5"" staple. M.P.=250C (manufacturer's data)."
186,Rayon,Accordis Fibers Danufil® F,Germany,"Black spun dyed. Bright. 1.7dtex x 40mm staple."
187,Lyocell,Courtaulds Tencel®,UK,"This fiber is a regenerated cellulose. Samples were prepared by deknitting denim fabric."
188,Rayon,Courtaulds Viloft® B4,UK,"High shrink. Bleached. Dull. 1.5dtex x 38mm staple."
189,Rayon,Courtaulds Sarille® DV,UK,"Flame retardant. Dull. 2.4dtex x 32mm staple."
190,Rayon,Courtaulds Vincel® Modal,UK,"Modal. Bright. 1.7dtex x 38mm staple."
191,Rayon,FMC American Fiber 40 SN 2556,USA,"High wet modulus. Rounded X-S. 1.5d. Staple."
192,Rayon,FMC American Fiber 410 SN 2452,USA,"Spun dyed black. 1.5 d. x 1 9/16"" staple."
193,Rayon,FMC American Fiber 43,USA,"High wet modulus. Round X-S. Bright. 1.0d. x 1 9/16"" staple."
194,Rayon,FMC American PFR Rayon,USA,"Flame retardant. 3.0d. x 2"" staple."
195,Rayon,FMC American Rayon,USA,"Dyed sapphire blue. Irregular X-S. 3.0d. x 2"" staple."
196,Rayon,FMC American Rayon,USA,"Super Crimp. Bright. 8.0d. Staple."
197,Rayon,Hoechst AG Danufil®,Germany,"Irregular X-S. 1.7dtex x 40mm staple."
198,Rayon,Lenzing AG Tapan®,Austria,"Bright. 8.9dtex. Carpet fiber."
199,Spandex,Du Pont Lycra® 126,USA,"470dtex. Staple. Uses: Elastic fabrics including foundation garments, swimwear, stretch fabrics."
200,Sulfar,Amoco Ryton™,USA,"Tan (natural). 2.7d. x 3.25"" staple. M.P.=285C (manufacturer's data). Used in applications where heat and chemical resistance are crucial."
201,Chlorofiber,Rhone Poulenc Thermovyl Type L9S,France,"2.4d. x 60 mm. Flame retardant. Shrinks at 98 C. Use: protective and thermal clothing, bedding."
